"Name,Ticker/Code,발행사,자산,전략,세부전략,지역,추적배수,거래대금(백만),시가총액(백만)"
"TIGER 미국S&P500,360750,미래에셋자산운용,주식,시장대표,-,미국,일반,101801.0966,9787743.75"
"KODEX CD금리액티브(합성),459580,삼성자산운용,기타,금리,-,국내,일반,325051.1851,8993586.483"
"KODEX 200,069500,삼성자산운용,주식,시장대표,-,국내,일반,294825.6774,8648134.25"
"KODEX 머니마켓액티브,488770,삼성자산운용,채권,혼합,단기,국내,일반,29675.60064,8106303.48"
"TIGER 미국나스닥100,133690,미래에셋자산운용,주식,시장대표,-,미국,일반,54757.10841,6004207"
"KODEX 미국S&P500,379800,삼성자산운용,주식,시장대표,-,미국,일반,71573.6579,5381363.75"
"TIGER CD금리투자KIS(합성),357870,미래에셋자산운용,기타,금리,-,국내,일반,10268.88959,5152064.25"
"KODEX KOFR금리액티브(합성),423160,삼성자산운용,기타,금리,-,국내,일반,3642.972915,4218512.55"
"TIGER 미국테크TOP10 INDXX,381170,미래에셋자산운용,주식,테마,빅테크,미국,일반,79726.7476,3686364"
"KODEX 종합채권(AA-이상)액티브,273130,삼성자산운용,채권,혼합,종합,국내,일반,12081.78362,3518179.92"
"KODEX 미국나스닥100,379810,삼성자산운용,주식,시장대표,-,미국,일반,21402.20775,3394207.25"
"TIGER 200,102110,미래에셋자산운용,주식,시장대표,-,국내,일반,76680.55589,3175539.25"
"TIGER 머니마켓액티브,0043B0,미래에셋자산운용,채권,혼합,단기,국내,일반,11546.65956,3104543.64"
"KODEX 200TR,278530,삼성자산운용,주식,시장대표,-,국내,일반,6377.662303,3073213.5"
"RISE 머니마켓액티브,455890,케이비자산운용,채권,혼합,단기,국내,일반,17646.33583,2835014"
"TIGER 미국필라델피아반도체나스닥,381180,미래에셋자산운용,주식,섹터,반도체,미국,일반,20865.83134,2648613.25"
"KODEX 레버리지,122630,삼성자산운용,주식,시장대표,-,국내,2X 레버리지,475170.6467,2612889"
"KODEX CD1년금리플러스액티브(합성),481050,삼성자산운용,기타,금리,-,국내,일반,27328.21869,2526354.975"
"TIGER KOFR금리액티브(합성),449170,미래에셋자산운용,기타,금리,-,국내,일반,12543.05108,2526304.475"
"ACE 미국S&P500,360200,한국투자신탁운용,주식,시장대표,-,미국,일반,8287.455394,2452615"
"ACE 미국30년국채액티브(H),453850,한국투자신탁운용,채권,국공채,장기,미국,일반,16666.89377,2331972.5"
"TIGER 미국배당다우존스,458730,미래에셋자산운용,주식,스타일,배당,미국,일반,15417.95984,2223102.5"
"ACE KRX금현물,411060,한국투자신탁운용,원자재,금속,금,국내,일반,180330.7383,2150900"
"TIGER 차이나전기차SOLACTIVE,371460,미래에셋자산운용,주식,테마,차세대모빌리티,중국,일반,57651.25874,2005687.2"
"ACE 미국나스닥100,367380,한국투자신탁운용,주식,시장대표,-,미국,일반,8774.187622,1966456"
"KODEX 200선물인버스2X,252670,삼성자산운용,주식,시장대표,-,국내,2X 인버스,316533.9953,1760856.8"
"TIGER MSCI Korea TR,310970,미래에셋자산운용,주식,시장대표,-,국내,일반,456.01908,1757952"
"KODEX 단기채권PLUS,214980,삼성자산운용,채권,혼합,단기,국내,일반,2369.424847,1745886.195"
"SOL 조선TOP3플러스,466920,신한자산운용,주식,테마,조선,국내,일반,68160.84328,1734816"
"RISE 200,148020,케이비자산운용,주식,시장대표,-,국내,일반,28015.31366,1670922"
"PLUS 고배당주,161510,한화자산운용,주식,스타일,배당,국내,일반,14594.09903,1644950.4"
"RISE 종합채권(A-이상)액티브,385540,케이비자산운용,채권,혼합,종합,국내,일반,652.2008,1619498.25"
"KODEX 코스닥150레버리지,233740,삼성자산운용,주식,시장대표,-,국내,2X 레버리지,81485.17209,1604035"
"TIGER 25-10 회사채(A+이상)액티브,453540,미래에셋자산운용,채권,회사채,단기,국내,일반,4239.189013,1586106.22"
"KODEX 삼성그룹,102780,삼성자산운용,주식,스타일,그룹주,국내,일반,2346.706202,1486961.5"
"RISE CD금리액티브(합성),477080,케이비자산운용,기타,금리,-,국내,일반,625.183764,1456230.14"
"TIGER 미국30년국채커버드콜액티브(H),476550,미래에셋자산운용,채권,채권파생,커버드콜,미국,일반,8989.258145,1379675"
"TIGER 25-12 금융채(AA-이상),494900,미래에셋자산운용,채권,회사채,단기,국내,일반,0.61984,1293544.51"
"PLUS K방산,449450,한화자산운용,주식,테마,방산,-,일반,68341.17324,1259116.75"
"RISE 단기특수은행채액티브,0061Z0,케이비자산운용,채권,혼합,단기,국내,일반,81.98019,1223244.4"
"TIGER 차이나항셍테크,371160,미래에셋자산운용,주식,테마,빅테크,중국,일반,24933.22302,1218832.5"
"KODEX 코스닥150,229200,삼성자산운용,주식,시장대표,-,국내,일반,65391.23553,1205977.5"
"RISE 미국나스닥100,368590,케이비자산운용,주식,시장대표,-,미국,일반,2657.46556,1194102"
"KODEX 2차전지산업,305720,삼성자산운용,주식,테마,2차전지(배터리),국내,일반,23178.74732,1156176"
"TIGER TOP10,292150,미래에셋자산운용,주식,규모,대형주,국내,일반,9206.977133,1144472"
"ACE 테슬라밸류체인액티브,457480,한국투자신탁운용,주식,테마,차세대모빌리티,글로벌,일반,23878.8158,1135541.75"
"RISE 미국S&P500,379780,케이비자산운용,주식,시장대표,-,미국,일반,3441.959112,1119825"
"KIWOOM 200TR,294400,키움투자자산운용,주식,시장대표,-,국내,일반,5491.339849,1074225.25"
"TIGER 종합채권(AA-이상)액티브,451540,미래에셋자산운용,채권,혼합,종합,국내,일반,1737.801783,1041821.25"
"KODEX 200타겟위클리커버드콜,498400,삼성자산운용,주식,주식파생,커버드콜,국내,일반,19531.12857,1006748"
"TIGER 단기통안채,157450,미래에셋자산운용,채권,국공채,단기,국내,일반,4497.169722,1003308.55"
"SOL 초단기채권액티브,469830,신한자산운용,채권,혼합,단기,국내,일반,21718.15629,1000982.19"
"KODEX 미국AI전력핵심인프라,487230,삼성자산운용,주식,테마,전력인프라,미국,일반,16676.32191,996810"
"TIGER CD1년금리액티브(합성),475630,미래에셋자산운용,기타,금리,-,국내,일반,24632.51007,987574.56"
"SOL 종합채권(AA-이상)액티브,436140,신한자산운용,채권,혼합,종합,국내,일반,5734.587955,964915.1"
"KODEX 26-12 회사채(AA-이상)액티브,473290,삼성자산운용,채권,회사채,단기,국내,일반,625.420914,964636.2"
"TIGER 미국배당다우존스타겟커버드콜2호,458760,미래에셋자산운용,주식,주식파생,커버드콜,미국,일반,2574.418956,959502.5"
"1Q 머니마켓액티브,479080,하나자산운용,채권,혼합,단기,국내,일반,2169.710396,939664.95"
"TIGER 2차전지테마,305540,미래에셋자산운용,주식,테마,2차전지(배터리),국내,일반,6899.264801,927153.5"
"KODEX 반도체,091160,삼성자산운용,주식,섹터,반도체,국내,일반,39490.85192,903212.25"
"TIGER 반도체TOP10,396500,미래에셋자산운용,주식,섹터,반도체,국내,일반,32455.96358,902880"
"KODEX 25-12 은행채(AAA)액티브,491080,삼성자산운용,채권,회사채,단기,국내,일반,326.752545,896812.63"
"ACE 종합채권(AA-이상)KIS액티브,356540,한국투자신탁운용,채권,혼합,종합,국내,일반,6107.967355,875198.335"
"TIGER 미국30년국채스트립액티브(합성 H),458250,미래에셋자산운용,채권,국공채,장기,미국,일반,6786.946582,867760.8"
"KODEX 미국30년국채타겟커버드콜(합성 H),481060,삼성자산운용,채권,채권파생,커버드콜,미국,일반,7533.434723,864300"
"TIGER 미국나스닥100타겟데일리커버드콜,486290,미래에셋자산운용,주식,주식파생,커버드콜,미국,일반,6328.246415,851296.25"
"PLUS 200,152100,한화자산운용,주식,시장대표,-,국내,일반,5938.564755,848050"
"TIMEFOLIO 글로벌AI인공지능액티브,456600,타임폴리오자산운용,주식,테마,로보틱스 & AI,글로벌,일반,14083.39724,830491.2"
